"sample","median_delGcox","median_delGd","median_lambda"
"ECA2_0022_05_p1.corems",-143.287164561186,-2720.66127539091,0.0451562287096275
"ECA2_0022_06_p1.corems",-142.741743449033,-2739.52276907447,0.045810893975902
"ECA2_0022_07_p1.corems",-144.859260707981,-3020.48429914013,0.0403171547431725
"ECA2_0022_08_p1.corems",-145.009728010738,-3064.27657604758,0.0393052040358774
"ECA2_0022_09_p1.corems",-143.900683908269,-3089.20735927147,0.0403466369997228
"ECA2_0022_10_p1.corems",-145.200780122277,-3043.39198585058,0.0393469371721496
"ECA2_0023_01_p1.corems",-145.196138453723,-2954.69200404164,0.0404097737536415
"ECA2_0023_02_p1.corems",-144.967061586619,-2909.78429914013,0.0408002203994622
"ECA2_0023_03_p1.corems",-145.196138453723,-2649.91511874613,0.044859676220923
"ECA2_0023_05_p1.corems",-145.204056594197,-2714.69586558791,0.0437604182398398
"ECA2_0023_08_p1.corems",-145.196138453723,-2926.83045578491,0.0406371781871289
"ECA2_0023_09_p1.corems",-144.426191340064,-2883.03817887746,0.0422252573575341
"ECA2_0023_10_p15.corems",-145.200780122277,-2948.72659423863,0.0406394645054016
"ECA2_0024_01_p1.corems",-144.967061586619,-2951.7612390088,0.040446348864394
"ECA2_0024_05_p1.corems",-144.587347144981,-2841.0612390088,0.0422252573575341
"ECA2_0024_06_p1.corems",-144.449148669687,-2946.80737746252,0.0408469537687443
"ECA2_0024_07_p1.corems",-144.343830621484,-2881.01508236402,0.0420785721061039
"ECA2_0024_08_p1.corems",-144.241651507455,-2742.55741384463,0.0440340382289253
"ECA2_0024_09_p1.corems",-145.196138453723,-2980.53045578491,0.039796226296077
"ECA2_0024_10_p1.corems",-145.196138453723,-2972.6458292058,0.0394472612878256
"ECA2_0026_01_p1.corems",-141.818166934592,-2697.75358868046,0.0476768002499133
"ECA2_0026_02_p1.corems",-143.531394980589,-2739.52276907447,0.0459131416497877
"ECA2_0026_03_p1.corems",-144.291887662522,-2802.38429914013,0.0438259717823437
"ECA2_0026_04_p1.corems",-144.449148669687,-2812.29202223269,0.0436883556247607
"ECA2_0026_05_p1.corems",-144.467515298273,-2743.56896210135,0.0449126594636316
"ECA2_0026_06_p1.corems",-144.923427897647,-2741.54586558791,0.0440340382289253
"ECA2_0026_07_p1.corems",-145.716767697142,-2739.52276907447,0.0439504617650766
"ECA2_0026_08_p1.corems",-144.559813822878,-2676.76511874613,0.0459427558887764
"ECA2_0026_09_p1.corems",-144.378006785493,-2752.99970894313,0.0443662933936504
"ECA2_0026_10_p1.corems",-144.441522789246,-2802.38429914013,0.0436948646973359
"ECA2_0027_01_p1.corems",-143.708011424262,-2945.89970894313,0.0422722102775766
"ECA2_0027_02_p1.corems",-144.25511234626,-2931.78431733119,0.0416252322289042
"ECA2_0027_03_p1.corems",-144.050754118201,-2957.62276907447,0.0420348748140433
"ECA2_0027_04_p1.corems",-144.449148669687,-2901.89967256102,0.0420491257310088
"ECA2_0027_05_p1.corems",-143.634250723466,-2863.96892571924,0.0435536363856396
"ECA2_0027_06_p1.corems",-145.445135048402,-2949.73814249536,0.0404097737536415
"ECA2_0027_07_p1.corems",-144.831001841879,-2860.13049216702,0.0420491257310088
"ECA2_0027_08_p1.corems",-145.660635091496,-2949.73814249536,0.0401916486463622
"ECA2_0027_09_p1.corems",-143.634250723466,-2883.03817887746,0.042623805797032
"ECA2_0027_10_p1.corems",-144.241651507455,-2926.83045578491,0.0422252573575341
"ECA2_0028_01_p1.corems",-144.243894980589,-2957.62276907447,0.0418606538330555
"ECA2_0028_02_p1.corems",-144.050754118201,-2888.89970894313,0.0424468655583629
"ECA2_0028_03_p1.corems",-144.532929497052,-2905.94586558791,0.0422252573575341
"ECA2_0028_04_p1.corems",-144.050754118201,-2624.98433552224,0.0465424931848492
"ECA2_0028_05_p1.corems",-144.050754118201,-2909.78429914013,0.0422252573575341
"ECA2_0028_06_p1.corems",-145.196138453723,-2863.96892571924,0.0420638489185563
"ECA2_0028_07_p1.corems",-144.485881926858,-2809.25737746252,0.0436209960052002
"ECA2_0028_08_p1.corems",-144.291887662522,-2655.7766488118,0.0460303872167035
"ECA2_0028_09_p1.corems",-144.050754118201,-2766.4766488118,0.0440340382289253
"ECA2_0028_10_p1.corems",-144.559813822878,-2718.63817887746,0.0449126594636316
"ECA2_0029_01_p1.corems",-143.531394980589,-2716.61508236402,0.045810893975902
"ECA2_0029_02_p1.corems",-144.252868873126,-2802.38429914013,0.0436242505414878
"ECA2_0029_03_p1.corems",-142.932713741868,-2931.78431733119,0.0432188540472078
"ECA2_0029_04_p1.corems",-142.932713741868,-2818.15355229835,0.0448955093191316
"ECA2_0029_05_p1.corems",-144.130753663425,-2878.99198585058,0.0432188540472078
"ECA2_0029_06_p1.corems",-142.914343675216,-2789.38433552224,0.0457691330608305
"ECA2_0029_07_p1.corems",-143.769215476751,-2934.71508236402,0.04239612132533
"ECA2_0029_08_p1.corems",-143.287164561186,-2812.29202223269,0.0443537399260337
"ECA2_0029_09_p1.corems",-142.164238742047,-2857.09584739685,0.0454684565926924
"ECA2_0029_10_p1.corems",-142.798703722381,-2883.03817887746,0.0439504617650766
"ECA2_0033_01_p08.corems",-140.560059000419,-2672.82280545657,0.0489777773732694
"ECA2_0033_02_p08.corems",-138.403831985813,-2651.93821525957,0.0501893869253821
"ECA2_0033_03_p08.corems",-138.686844009397,-2697.75358868046,0.0492712258845086
"ECA2_0033_04_p08.corems",-141.759985447157,-2756.56892571924,0.0472050355154837
"ECA2_0033_05_p08.corems",-140.38552424453,-2718.63817887746,0.0482983460263744
"ECA2_0033_06_p08.corems",-139.469216776112,-2695.73049216702,0.0490022047597235
"ECA2_0033_08_p08.corems",-140.605627219097,-2766.4766488118,0.0470692664120169
"ECA2_0033_09_p08.corems",-138.427958289274,-2695.73049216702,0.0493929760539518
"ECA2_0033_10_p08.corems",-139.078448105068,-2694.7189439103,0.0492712258845086
"ECA2_0034_01_p1.corems",-144.378006785493,-2951.7612390088,0.0416627241479679
"ECA2_0034_02_p1.corems",-143.394721523323,-2695.73049216702,0.0461432040796185
"ECA2_0034_03_p1.corems",-143.627595191477,-2905.94586558791,0.0426317836450833
"ECA2_0034_04_p1.corems",-142.85942542143,-2835.19970894313,0.0444264220425171
"ECA2_0034_05_p1.corems",-143.198446285962,-2739.52276907447,0.0457691330608305
"ECA2_0034_06_p1.corems",-142.741743449033,-2819.16510055507,0.0445972104862713
"ECA2_0034_07_p1.corems",-143.511749725014,-2743.56896210135,0.0457691330608305
"ECA2_0034_08_p1.corems",-143.947580848873,-2863.96892571924,0.0426338959349211
"ECA2_0034_09_p1.corems",-143.83258567334,-2925.81890752819,0.0424154696894695
"ECA2_0034_10_p1.corems",-144.050754118201,-2841.0612390088,0.0436948646973359
"ECA2_0035_01_p08.corems",-144.796687504469,-3091.23045578491,0.0389859946040504
"ECA2_0035_02_p1.corems",-143.874541143505,-2858.10739565358,0.0431676803130679
"ECA2_0035_03_p1.corems",-144.703997802977,-2789.38433552224,0.0430334530341968
"ECA2_0035_04_p1.corems",-144.755606016984,-2858.10739565358,0.0420785721061039
"ECA2_0035_05_p1.corems",-144.559813822878,-2928.85355229835,0.0409674778934608
"ECA2_0035_07_p1.corems",-143.086219940919,-2791.40743203568,0.0445551193405829
"ECA2_0035_08_p15.corems",-142.831019428093,-2883.03817887746,0.0438259717823437
"ECA2_0035_10_p1.corems",-144.675509210304,-2810.26892571924,0.0438957863199517
"ECA2_0036_01_p1.corems",-145.424307768565,-2748.4189439103,0.0436948646973359
"ECA2_0036_02_p1.corems",-144.859260707981,-3045.41508236402,0.0391313759626347
"ECA2_0036_03_p1.corems",-144.130753663425,-3095.06888933713,0.0393299870393049
"ECA2_0036_04_p1.corems",-142.741743449033,-2903.92276907447,0.0435536363856396
"ECA2_0036_05_p1.corems",-144.050754118201,-2926.83045578491,0.0422252573575341
"ECA2_0036_06_p1.corems",-139.957677614918,-2778.19970894313,0.0461432040796185
"ECA2_0036_07_p1.corems",-144.285215320828,-3020.48429914013,0.0405643346478758
"ECA2_0036_08_p1.corems",-144.587347144981,-2985.48431733118,0.0406227067597142
"ECA2_0036_09_p1.corems",-144.441522789246,-2785.33814249536,0.0439658610883338
"ECA2_0036_10_p1.corems",-144.092044206058,-3043.39198585058,0.0406250640193638
"ECA2_0037_01_p1.corems",-143.83258567334,-2791.40743203568,0.0441770403466353
"ECA2_0037_02_p1.corems",-142.914343675216,-2695.73049216702,0.0473368216121162
"ECA2_0037_03_p1.corems",-144.050754118201,-2508.42280545657,0.0491499304576636
"ECA2_0037_04_p1.corems",-143.134446649783,-2764.45355229835,0.0457691330608305
"ECA2_0037_05_p1.corems",-144.559813822878,-2787.3612390088,0.0438608790511477
"ECA2_0037_06_p1.corems",-143.287164561186,-2755.93047397597,0.0457581673759333
"ECA2_0037_07_p1.corems",-143.511749725014,-2814.31511874613,0.0439581614267052
"ECA2_0037_08_p1.corems",-144.050754118201,-2881.01508236402,0.0426030655003267
"ECA2_0037_09_p1.corems",-144.559813822878,-2810.26892571924,0.0426163684277861
"ECA2_0037_10_p1.corems",-144.495963549043,-2872.49200404164,0.0420348748140433
"ECA2_0038_01_p1.corems",-143.134446649783,-2881.01508236402,0.0439504617650766
"ECA2_0038_02_p1.corems",-143.086219940919,-2909.78429914013,0.0436948646973359
"ECA2_0038_03_p1.corems",-143.453162290972,-2785.33814249536,0.0453035539664045
"ECA2_0038_04_p1.corems",-142.741743449033,-2858.10739565358,0.0441770403466353
"ECA2_0038_05_p1.corems",-142.523575004171,-2674.84590197002,0.0478667499664712
"ECA2_0038_06_p1.corems",-143.874541143505,-2907.96896210135,0.0424589130631169
"ECA2_0038_07_p1.corems",-143.02086392835,-2841.0612390088,0.0441770403466353
"ECA2_0038_08_p1.corems",-142.05306195044,-2860.13049216702,0.04456058906235
"ECA2_0038_09_p1.corems",-144.050754118201,-2833.17661242969,0.0438957863199517
"ECA2_0038_10_p1.corems",-143.85654561123,-2882.02663062074,0.0426338959349211
"ECA2_0039_01_p1.corems",-144.241651507455,-2695.73049216702,0.0457581673759333
"ECA2_0039_02_p1.corems",-144.050754118201,-2818.15355229835,0.0435536363856396
"ECA2_0039_03_p1.corems",-144.559813822878,-2793.22276907447,0.0436948646973359
"ECA2_0039_04_p1.corems",-144.241651507455,-2716.61508236402,0.0456538777868628
