richness,sample
3305,SO245_masslistsSO245.SPE153_040_01_1393.corems
3707,SO245_masslistsSO245.SPE154_135_01_1275.corems
3651,SO245_masslistsSO245.SPE155_144_01_1295.corems
3793,SO245_masslistsSO245.SPE157_148_01_1303.corems
3206,SO245_masslistsSO245.SPE158_030_01_1371.corems
4163,SO245_masslistsSO245.SPE159_123_01_1249.corems
3856,SO245_masslistsSO245.SPE161_138_01_1281.corems
3852,SO245_masslistsSO245.SPE162_103_01_1204.corems
3479,SO245_masslistsSO245.SPE163_039_01_1391.corems
3951,SO245_masslistsSO245.SPE164_136_01_1277.corems
3838,SO245_masslistsSO245.SPE165_026_01_1363.corems
4010,SO245_masslistsSO245.SPE166_108_01_1437.corems
3466,SO245_masslistsSO245.SPE167_121_01_1245.corems
3955,SO245_masslistsSO245.SPE168_101_01_1423.corems
3777,SO245_masslistsSO245.SPE169_126_01_1255.corems
4224,SO245_masslistsSO245.SPE170_127_01_1257.corems
4427,SO245_masslistsSO245.SPE171_147_01_1301.corems
3236,SO245_masslistsSO245.SPE172_041_01_1401.corems
3802,SO245_masslistsSO245.SPE173_128_01_1259.corems
3720,SO245_masslistsSO245.SPE174_104_01_1429.corems
3779,SO245_masslistsSO245.SPE175_130_01_1263.corems
3531,SO245_masslistsSO245.SPE176_032_01_1377.corems
3436,SO245_masslistsSO245.SPE177_033_01_1379.corems
1707,STL_0001_ICR.1_p1.corems
1417,STL_0001_ICR.2_p08.corems
1998,STL_0001_ICR.3_p1.corems
2306,STL_0002_ICR.1_p08.corems
2513,STL_0002_ICR.2_p08.corems
2260,STL_0002_ICR.3_p08.corems
1004,STL_0003_ICR.1_p1.corems
1967,STL_0003_ICR.2_p1.corems
1470,STL_0003_ICR.3_p1.corems
1982,STL_0004_ICR.1_p08.corems
2621,STL_0004_ICR.2_p08.corems
2469,STL_0004_ICR.3_p08.corems
2805,STL_0005_ICR.1_p08.corems
1931,STL_0005_ICR.2_p1.corems
2559,STL_0005_ICR.3_p08.corems
2126,STL_0006_ICR.1_p08.corems
1916,STL_0006_ICR.2_p1.corems
2369,STL_0006_ICR.3_p08.corems
2406,STL_0007_ICR.1_p08.corems
1913,STL_0007_ICR.2_p1.corems
2028,STL_0007_ICR.3_p08.corems
2104,STL_0008_ICR.1_p08.corems
1872,STL_0008_ICR.2_p08.corems
2597,STL_0008_ICR.3_p08.corems
2011,STL_0009_ICR.1_p08.corems
1901,STL_0009_ICR.2_p08.corems
1813,STL_0009_ICR.3_p08.corems
1722,STL_0010_ICR.1_p08.corems
2631,STL_0010_ICR.2_p08.corems
2324,STL_0010_ICR.3_p08.corems
2439,STL_0011_ICR.1_p08.corems
2311,STL_0011_ICR.2_p08.corems
2298,STL_0011_ICR.3_p08.corems
1865,STL_0012_ICR.1_p08.corems
1596,STL_0012_ICR.2_p1.corems
1235,STL_0012_ICR.3_p08.corems
1919,STL_0013_ICR.1_p1.corems
2436,STL_0013_ICR.2_p08.corems
2127,STL_0013_ICR.3_p08.corems
2089,STL_0014_ICR.1_p08.corems
2272,STL_0014_ICR.2_p08.corems
1755,STL_0014_ICR.3_p08.corems
2428,STL_0015_ICR.1_p08.corems
1913,STL_0015_ICR.2_p1.corems
2258,STL_0015_ICR.3_p08.corems
2076,STL_0016_ICR.1_p08.corems
1790,STL_0016_ICR.2_p1.corems
2066,STL_0016_ICR.3_p1.corems
1744,STL_0017_ICR.1_p08.corems
2311,STL_0017_ICR.2_p08.corems
2336,STL_0017_ICR.3_p08.corems
2018,STL_0018_ICR.1_p08.corems
2087,STL_0018_ICR.2_p08.corems
2362,STL_0018_ICR.3_p08.corems
2075,STL_0019_ICR.1_p08.corems
2191,STL_0019_ICR.2_p1.corems
2362,STL_0019_ICR.3_p08.corems
1094,STL_0020_ICR.1_p08.corems
1865,STL_0020_ICR.2_p1.corems
1946,STL_0020_ICR.3_p08.corems
2398,STL_0021_ICR.1_p08.corems
1888,STL_0021_ICR.2_p08.corems
2476,STL_0021_ICR.3_p08.corems
2598,STL_0022_ICR.1_p08.corems
2162,STL_0022_ICR.2_p08.corems
2609,STL_0022_ICR.3_p08.corems
1731,STL_0023_ICR.1_p1.corems
2394,STL_0023_ICR.2_p08.corems
2110,STL_0023_ICR.3_p08.corems
2148,STL_0024_ICR.1_p08.corems
1370,STL_0024_ICR.2_p08.corems
2073,STL_0024_ICR.3_p08.corems
2571,STL_0025_ICR.1_p08.corems
2438,STL_0025_ICR.2_p08.corems
2575,STL_0025_ICR.3_p08.corems
2754,STL_0026_ICR.1_p08.corems
2507,STL_0026_ICR.2_p08.corems
2581,STL_0026_ICR.3_p08.corems
2208,STL_0027_ICR.1_p08.corems
2514,STL_0027_ICR.2_p08.corems
2065,STL_0027_ICR.3_p08.corems
2304,STL_0028_ICR.1_p08.corems
2306,STL_0028_ICR.2_p08.corems
1178,STL_0028_ICR.3_p08.corems
2660,STL_0029_ICR.1_p08.corems
2502,STL_0029_ICR.2_p08.corems
2040,STL_0029_ICR.3_p08.corems
1878,STL_0030_ICR.1_p08.corems
2371,STL_0030_ICR.2_p08.corems
2599,STL_0030_ICR.3_p08.corems
2092,STL_0031_ICR.1_p08.corems
2379,STL_0031_ICR.2_p08.corems
2553,STL_0031_ICR.3_p08.corems
2187,STL_0032_ICR.1_p08.corems
2303,STL_0032_ICR.2_p08.corems
2115,STL_0032_ICR.3_p08.corems
3244,STL_0033_ICR.1_p08.corems
3138,STL_0033_ICR.2_p08.corems
2176,STL_0033_ICR.3_p08.corems
757,STL_0034_ICR.1_p1.corems
2791,STL_0034_ICR.2_p08.corems
2465,STL_0034_ICR.3_p08.corems
2075,STL_0035_ICR.1_p08.corems
2351,STL_0035_ICR.2_p08.corems
2434,STL_0035_ICR.3_p08.corems
1164,STL_0036_ICR.1_p08.corems
1763,STL_0036_ICR.2_p08.corems
1448,STL_0036_ICR.3_p08.corems
1100,STL_0037_ICR.1_p1.corems
1018,STL_0037_ICR.2_p1.corems
1201,STL_0037_ICR.3_p08.corems
2710,STL_0038_ICR.1_p08.corems
2744,STL_0038_ICR.2_p08.corems
2597,STL_0038_ICR.3_p08.corems
2183,STL_0039_ICR.1_p08.corems
2458,STL_0039_ICR.2_p08.corems
1044,STL_0039_ICR.3_p1.corems
1980,STL_0040_ICR.1_p08.corems
1600,STL_0040_ICR.2_p08.corems
2116,STL_0040_ICR.3_p08.corems
2571,STL_0041_ICR.1_p08.corems
1526,STL_0041_ICR.2_p08.corems
1928,STL_0041_ICR.3_p08.corems
2036,STL_0042_ICR.1_p08.corems
1729,STL_0042_ICR.2_p08.corems
2256,STL_0042_ICR.3_p08.corems
1950,STL_0043_ICR.1_p08.corems
2453,STL_0043_ICR.2_p08.corems
2461,STL_0043_ICR.3_p08.corems
2543,STL_0044_ICR.1_p08.corems
2472,STL_0044_ICR.2_p08.corems
2015,STL_0044_ICR.3_p08.corems
1298,STL_0045_ICR.1_p1.corems
2168,STL_0045_ICR.2_p08.corems
2123,STL_0045_ICR.3_p08.corems
2538,STL_0046_ICR.1_p08.corems
2624,STL_0046_ICR.2_p08.corems
2428,STL_0046_ICR.3_p08.corems
1345,STL_0047_ICR.1_p08.corems
1222,STL_0047_ICR.2_p1.corems
1402,STL_0047_ICR.3_p08.corems
1864,STL_0048_ICR.1_p1.corems
2314,STL_0048_ICR.2_p08.corems
2340,STL_0048_ICR.3_p08.corems
1956,STL_0049_ICR.1_p08.corems
2048,STL_0049_ICR.2_p08.corems
2498,STL_0049_ICR.3_p08.corems
2275,STL_0051_ICR.1_p08.corems
2175,STL_0051_ICR.2_p08.corems
2485,STL_0051_ICR.3_p08.corems
2644,STL_0052_ICR.1_p08.corems
2339,STL_0052_ICR.2_p08.corems
2542,STL_0052_ICR.3_p08.corems
2741,STL_0053_ICR.1_p08.corems
2501,STL_0053_ICR.2_p08.corems
2823,STL_0053_ICR.3_p08.corems
2683,STL_0054_ICR.1_p08.corems
2088,STL_0054_ICR.2_p08.corems
2314,STL_0054_ICR.3_p08.corems
1662,STL_0055_ICR.1_p08.corems
1588,STL_0055_ICR.2_p08.corems
1611,STL_0055_ICR.3_p08.corems
1741,STL_0056_ICR.1_p1.corems
2482,STL_0056_ICR.2_p08.corems
2350,STL_0056_ICR.3_p08.corems
2017,STL_0057_ICR.1_p08.corems
1848,STL_0057_ICR.2_p08.corems
2713,STL_0057_ICR.3_p08.corems
2902,STL_0058_ICR.1_p08.corems
2817,STL_0058_ICR.2_p08.corems
3045,STL_0058_ICR.3_p08.corems
2146,STL_0059_ICR.1_p08.corems
2550,STL_0059_ICR.2_p08.corems
2537,STL_0059_ICR.3_p08.corems
2130,STL_0060_ICR.1_p08.corems
2155,STL_0060_ICR.2_p08.corems
1230,STL_0060_ICR.3_p1.corems
2549,STL_0061_ICR.1_p08.corems
2447,STL_0061_ICR.2_p08.corems
2712,STL_0061_ICR.3_p08.corems
2672,STL_0062_ICR.1_p08.corems
2698,STL_0062_ICR.2_p08.corems
2263,STL_0062_ICR.3_p08.corems
2382,STL_0063_ICR.1_p08.corems
1971,STL_0063_ICR.2_p08.corems
2004,STL_0063_ICR.3_p08.corems
1866,STL_0064_ICR.1_p08.corems
2287,STL_0064_ICR.2_p08.corems
2346,STL_0064_ICR.3_p08.corems
2303,STL_0065_ICR.1_p08.corems
2814,STL_0065_ICR.2_p08.corems
2396,STL_0065_ICR.3_p08.corems
2849,STL_0066_ICR.1_p08.corems
2978,STL_0066_ICR.3_p08.corems
2033,STL_0067_ICR.1_p08.corems
2228,STL_0067_ICR.2_p08.corems
2041,STL_0067_ICR.3_p08.corems
2224,STL_0068_ICR.1_p08.corems
1906,STL_0068_ICR.2_p08.corems
2458,STL_0068_ICR.3_p08.corems
1936,STL_0069_ICR.1_p08.corems
2774,STL_0069_ICR.2_p08.corems
2634,STL_0069_ICR.3_p08.corems
2203,STL_0070_ICR.1_p08.corems
1756,STL_0070_ICR.2_p08.corems
2422,STL_0070_ICR.3_p08.corems
1822,STL_0071_ICR.1_p08.corems
1592,STL_0071_ICR.2_p1.corems
2629,STL_0071_ICR.3_p08.corems
2617,STL_0072_ICR.1_p08.corems
2110,STL_0072_ICR.2_p08.corems
2325,STL_0072_ICR.3_p08.corems
2530,STL_0073_ICR.1_p08.corems
2237,STL_0073_ICR.2_p08.corems
1997,STL_0073_ICR.3_p08.corems
1719,STL_0075_ICR.1_p08.corems
1779,STL_0075_ICR.2_p08.corems
2400,STL_0075_ICR.3_p08.corems
2553,STL_0076_ICR.1_p08.corems
2382,STL_0076_ICR.2_p08.corems
2705,STL_0076_ICR.3_p08.corems
1763,STL_0077_ICR.1_p08.corems
