global_dataset,sampleName,coreMSname,type,date_utc_YYYYMMDD,Latitude,Longitude,depth_m,N_value,species,units,N_value2,species,units,N_value3,species,units,N_value4,species,units,P_pool,species,units,C_pool,species,units,GHG,species,units,DO_mgL,BDOC_%_mean,BDOC_sd,chla_ugL,bacterial_activity,units,Respiration_mgDO_hr_L_sediment,,,Extraction_Efficiency(%;assumed_or_measured),Instrument(t),TARGET_carbon_normalization(ugCL-1)
Drake2018,16,Drake2019_DRC_S16.corems,river,20170414,-2.3926,28.78057,,,,,,,,,,,,,,,,,109,DOC,uM,397,CO2,ppm,7.64,12,2.6,,,,,,,60,21,50
Drake2018,17,Drake2019_DRC_S17.corems,river,20170417,-2.61239,28.71181,,,,,,,,,,,,,,,,,30,DOC,uM,981,CO2,ppm,6.99,20,1.6,,,,,,,60,21,50
Drake2018,18,Drake2019_DRC_S18.corems,river,20170419,-2.39626,28.76637,,,,,,,,,,,,,,,,,37,DOC,uM,1470,CO2,ppm,6.79,28,5.3,,,,,,,60,21,50
Drake2018,19,Drake2019_DRC_S19.corems,river,20170424,-2.581739,28.727643,,,,,,,,,,,,,,,,,130,DOC,uM,2485,CO2,ppm,5.7,12,2.9,,,,,,,60,21,50
ECA2,ECA2_0001_01,ECA2_0001_01_p15.corems,sediment,20200824,39.1055243,-96.6054661,,,,,,,,,,,,,,,,,9.4,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0001_02,ECA2_0001_02_p15.corems,sediment,20200824,39.1055243,-96.6054661,,,,,,,,,,,,,,,,,97.7,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0001_03,ECA2_0001_03_p15.corems,sediment,20200824,39.1055243,-96.6054661,,,,,,,,,,,,,,,,,5.7,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0001_04,ECA2_0001_04_p15.corems,sediment,20200824,39.1055243,-96.6054661,,,,,,,,,,,,,,,,,13.5,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0001_05,ECA2_0001_05_p15.corems,sediment,20200824,39.1055243,-96.6054661,,,,,,,,,,,,,,,,,33.8,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0001_06,ECA2_0001_06_p15.corems,sediment,20200824,39.1055243,-96.6054661,,,,,,,,,,,,,,,,,14.3,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0001_07,ECA2_0001_07_p15.corems,sediment,20200824,39.1055243,-96.6054661,,,,,,,,,,,,,,,,,24.2,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0001_08,ECA2_0001_08_p15.corems,sediment,20200824,39.1055243,-96.6054661,,,,,,,,,,,,,,,,,13.8,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0001_09,ECA2_0001_09_p15.corems,sediment,20200824,39.1055243,-96.6054661,,,,,,,,,,,,,,,,,21.9,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0001_10,ECA2_0001_10_p15.corems,sediment,20200824,39.1055243,-96.6054661,,,,,,,,,,,,,,,,,32.7,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0002_01,ECA2_0002_01_p1.corems,sediment,20200809,42.98835,-108.398541,,,,,,,,,,,,,,,,,102.5,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0002_02,ECA2_0002_02_p08.corems,sediment,20200809,42.98835,-108.398541,,,,,,,,,,,,,,,,,51,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0002_03,ECA2_0002_03_p08.corems,sediment,20200809,42.98835,-108.398541,,,,,,,,,,,,,,,,,78.3,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0002_04,ECA2_0002_04_p08.corems,sediment,20200809,42.98835,-108.398541,,,,,,,,,,,,,,,,,112.6,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0002_05,ECA2_0002_05_p08.corems,sediment,20200809,42.98835,-108.398541,,,,,,,,,,,,,,,,,96.7,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0002_06,ECA2_0002_06_p08.corems,sediment,20200809,42.98835,-108.398541,,,,,,,,,,,,,,,,,102.8,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0002_07,ECA2_0002_07_p08.corems,sediment,20200809,42.98835,-108.398541,,,,,,,,,,,,,,,,,116.4,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0002_08,ECA2_0002_08_p08.corems,sediment,20200809,42.98835,-108.398541,,,,,,,,,,,,,,,,,58.2,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0002_09,ECA2_0002_09_p08.corems,sediment,20200809,42.98835,-108.398541,,,,,,,,,,,,,,,,,55,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0002_10,ECA2_0002_10_p08.corems,sediment,20200809,42.98835,-108.398541,,,,,,,,,,,,,,,,,39.1,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0003_01,ECA2_0003_01_p1.corems,sediment,20200824,41.833573,-72.24289,,,,,,,,,,,,,,,,,22.6,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0003_02,ECA2_0003_02_p1.corems,sediment,20200824,41.833573,-72.24289,,,,,,,,,,,,,,,,,24.5,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0003_03,ECA2_0003_03_p1.corems,sediment,20200824,41.833573,-72.24289,,,,,,,,,,,,,,,,,22,NPOC,mgCL,,,,,,,,,,,,,,,
ECA2,ECA2_0003_04,ECA2_0003_04_p1.corems,sediment,20200824,41.833573,-72.24289,,,,,,,,,,,,,,,,,47.7,NPOC,mgCL,,,,,,,,,,,,,,,
