dist.unique,nDistance_Results,n_Sample_Peak_Mat,n_ratio
STL_0006_ICR.2_p1.corems,52392,1916,27.3444676409186
STL_0006_ICR.3_p08.corems,66656,2369,28.1367665681722
STL_0007_ICR.1_p08.corems,65805,2406,27.3503740648379
STL_0007_ICR.2_p1.corems,53184,1913,27.8013591217982
STL_0007_ICR.3_p08.corems,55557,2028,27.3949704142012
STL_0008_ICR.1_p08.corems,57535,2104,27.3455323193916
STL_0008_ICR.2_p08.corems,53719,1872,28.696047008547
STL_0008_ICR.3_p08.corems,71577,2597,27.561417019638
STL_0009_ICR.1_p08.corems,54657,2011,27.1790154152163
STL_0009_ICR.2_p08.corems,53643,1901,28.2183061546554
STL_0009_ICR.3_p08.corems,50309,1813,27.7490347490347
STL_0010_ICR.1_p08.corems,47594,1722,27.6387921022067
STL_0010_ICR.2_p08.corems,72870,2631,27.69669327252
STL_0010_ICR.3_p08.corems,63846,2324,27.4724612736661
STL_0011_ICR.1_p08.corems,64912,2439,26.6141861418614
STL_0011_ICR.2_p08.corems,62524,2311,27.0549545651233
STL_0011_ICR.3_p08.corems,64281,2298,27.9725848563969
STL_0012_ICR.1_p08.corems,49951,1865,26.7833780160858
STL_0012_ICR.2_p1.corems,44204,1596,27.6967418546366
STL_0012_ICR.3_p08.corems,29291,1235,23.7174089068826
STL_0013_ICR.1_p1.corems,53901,1919,28.088066701407
STL_0013_ICR.2_p08.corems,67708,2436,27.7947454844007
STL_0013_ICR.3_p08.corems,58343,2127,27.4297132110954
STL_0014_ICR.1_p08.corems,59208,2089,28.3427477261848
STL_0014_ICR.2_p08.corems,63238,2272,27.8336267605634
STL_0014_ICR.3_p08.corems,43066,1755,24.5390313390313
STL_0015_ICR.1_p08.corems,67129,2428,27.6478583196046
STL_0015_ICR.2_p1.corems,53504,1913,27.9686356508102
STL_0015_ICR.3_p08.corems,60397,2258,26.7480070859167
STL_0016_ICR.1_p08.corems,55993,2076,26.9715799614644
STL_0016_ICR.2_p1.corems,45435,1790,25.3826815642458
STL_0016_ICR.3_p1.corems,55765,2066,26.9917715392062
STL_0017_ICR.1_p08.corems,48106,1744,27.5837155963303
STL_0017_ICR.2_p08.corems,61617,2311,26.6624837732583
STL_0017_ICR.3_p08.corems,64421,2336,27.5774828767123
STL_0018_ICR.1_p08.corems,55293,2018,27.3999008919723
STL_0018_ICR.2_p08.corems,61199,2087,29.3239099185434
STL_0018_ICR.3_p08.corems,65754,2362,27.8382726502964
